iter	score	ok	ARI	NMI	PS	ASW	hidden	bottleneck	batch_size	lr	epochs	p_zero	p_nz	noise_max	loss_bio_weight	loss_nz_weight	weight_decay	activation	dropout	layer_norm	residual
119	3.9825799999999996	False	0.8541399999999999	0.89054	0.9335799999999999	0.4501799999999999	[256]	16	16	0.0001	500	0.0	0.2	0.05	1.0	1.0	0.0	gelu	0.0	False	True
120	3.9367399999999995	False	0.8235199999999999	0.8780800000000001	0.93076	0.48085999999999995	[128]	8	8	0.0002	500	0.02	0.5	0.1	1.0	0.5	0.0	leaky_relu	0.0	True	True
121	2.94168	False	0.56528	0.6744	0.7807000000000001	0.35602	[32]	32	32	0.0001	200	0.0	0.1	0.2	0.5	2.0	0.0	relu	0.1	True	True
122	3.41272	False	0.6525799999999999	0.72066	0.81204	0.57486	[32]	16	16	5e-05	300	0.01	0.4	0.1	6.0	2.0	0.001	silu	0.2	False	True
123	3.9545000000000003	False	0.7943199999999999	0.83446	0.8851600000000002	0.64624	[256]	128	32	5e-05	300	0.0	0.5	0.1	1.0	1.0	1e-05	silu	0.2	False	True
124	4.2812	False	0.89344	0.88272	0.91668	0.6949200000000001	[256, 128]	32	32	0.0002	200	0.0	0.2	0.2	0.5	0.25	0.001	gelu	0.1	False	True
125	3.7835	False	0.7394400000000001	0.77768	0.8528600000000001	0.67408	[256, 128, 64]	16	128	0.0001	500	0.02	0.1	0.3	0.5	2.0	0.0	silu	0.1	False	False
126	4.296940000000001	False	0.8949	0.8869400000000001	0.93054	0.6896599999999999	[64]	16	128	0.0005	200	0.01	0.2	0.05	6.0	1.0	0.0	relu	0.05	True	False
127	4.11542	False	0.8268799999999998	0.85832	0.8972000000000001	0.70614	[64]	16	128	0.0005	200	0.1	0.3	0.4	4.0	0.5	0.0001	relu	0.1	True	False
128	4.15996	False	0.86462	0.8946799999999999	0.9408199999999999	0.5952200000000001	[128]	16	8	5e-05	500	0.0	0.5	0.05	4.0	0.5	0.0001	gelu	0.05	True	True
129	4.31348	False	0.9148799999999999	0.9021399999999999	0.93292	0.6486600000000001	[256]	32	128	0.0002	300	0.0	0.2	0.05	0.5	2.0	0.0	gelu	0.2	False	False
130	4.17736	False	0.8547400000000002	0.8884399999999999	0.9331999999999999	0.6462399999999999	[64]	16	32	0.001	200	0.0	0.2	0.4	0.5	0.5	0.0	silu	0.2	True	False
131	3.8185200000000004	False	0.81326	0.87164	0.9232199999999999	0.39714	[256, 256]	64	8	0.0002	500	0.02	0.3	0.2	4.0	0.25	0.001	leaky_relu	0.0	False	True
132	4.13786	False	0.8677199999999999	0.8991000000000001	0.94414	0.55918	[256, 128, 64]	16	32	0.001	200	0.1	0.5	0.3	1.0	1.0	0.0	leaky_relu	0.05	True	True
133	3.9541000000000004	False	0.8667999999999999	0.8965800000000002	0.9407399999999999	0.38317999999999997	[256, 128]	64	8	0.0005	400	0.05	0.5	0.1	1.0	2.0	0.0001	gelu	0.05	False	True
134	3.02712	False	0.5856399999999999	0.68646	0.8021	0.36728000000000005	[32]	32	128	0.0001	300	0.1	0.1	0.1	2.0	2.0	0.0	gelu	0.0	False	True
135	4.09662	False	0.86704	0.8965799999999999	0.94146	0.5245	[128, 64]	16	8	0.001	400	0.01	0.3	0.3	4.0	0.5	1e-05	relu	0.1	False	False
136	4.16866	False	0.8650399999999999	0.87392	0.9272199999999999	0.63744	[128, 64]	64	128	0.0002	300	0.02	0.1	0.05	4.0	2.0	0.001	relu	0.0	False	False
137	3.89142	False	0.8406	0.88232	0.92986	0.39804	[128]	128	64	0.0005	300	0.1	0.3	0.2	4.0	1.0	0.0	gelu	0.05	False	True
138	4.31156	False	0.90084	0.89238	0.9245599999999999	0.69294	[256]	64	64	0.0001	300	0.1	0.3	0.05	4.0	1.0	0.0001	relu	0.2	True	False
139	3.9218199999999994	False	0.7864600000000002	0.8246800000000001	0.8824	0.6418200000000001	[64]	64	32	0.0001	400	0.02	0.3	0.2	1.0	0.25	0.001	silu	0.05	False	False
140	3.8729	False	0.77894	0.80266	0.8752600000000001	0.6371	[256, 128]	64	64	0.0001	200	0.1	0.2	0.4	0.5	0.25	0.001	leaky_relu	0.2	False	False
141	4.21362	False	0.87158	0.9031199999999998	0.9447599999999999	0.62258	[256, 256]	64	8	5e-05	500	0.01	0.4	0.05	1.0	0.5	1e-05	relu	0.2	False	True
142	4.1897400000000005	False	0.8667400000000001	0.9004	0.9431999999999998	0.6126600000000001	[64]	128	32	0.0002	400	0.05	0.5	0.2	4.0	1.0	1e-05	gelu	0.1	True	False
143	3.9526600000000003	False	0.79888	0.8051400000000001	0.8849199999999999	0.6648400000000001	[256, 128, 64]	128	32	0.0001	300	0.05	0.3	0.05	2.0	0.5	0.0001	leaky_relu	0.2	False	False
144	4.08366	False	0.86524	0.89524	0.94156	0.5163800000000001	[256]	8	128	0.001	500	0.01	0.2	0.4	2.0	1.0	1e-05	gelu	0.1	False	False
